critic_cn,critic_name,critic_org,movie_dir,movie_name,movie_rank,movie_yr,genre,dir_country
Mexico,Arturo Aguilar,Rolling Stone Mexico,Wong Kar-wai,In the Mood for Love,1,2000,drama and romance,China
Mexico,Arturo Aguilar,Rolling Stone Mexico,David Lynch,Mulholland Drive,2,2001,drama mystery and thriller,USA
Mexico,Arturo Aguilar,Rolling Stone Mexico,Christopher Nolan,Inception,3,2010,action adventure sci-Fi and thriller,UK
Mexico,Arturo Aguilar,Rolling Stone Mexico,Guillermo Del Toro,Pan's Labyrinth,4,2006,drama fantasy and war,Mexico
Mexico,Arturo Aguilar,Rolling Stone Mexico,Michael Haneke,Caché,5,2005,drama mystery and thriller,Germany
Mexico,Arturo Aguilar,Rolling Stone Mexico,Werner Herzog,Grizzly Man,6,2005,documentary and biography,Germany
Mexico,Arturo Aguilar,Rolling Stone Mexico,Cristian Mungiu,"4 Months, 3 Weeks & 2 Days",7,2007,drama,Romania
Mexico,Arturo Aguilar,Rolling Stone Mexico,Leos Carax,Holy Motors,8,2012,drama and fantasy,France
Mexico,Arturo Aguilar,Rolling Stone Mexico,Claude Lanzmann,The Last of the Unjust,9,2013,documentary and history,France
Mexico,Arturo Aguilar,Rolling Stone Mexico,Paul Thomas Anderson,There Will Be Blood,10,2007,drama,USA
Brazil,Ana Maria Bahiana,Freelance film critic,Paul Thomas Anderson,There Will Be Blood,1,2007,drama,USA
Brazil,Ana Maria Bahiana,Freelance film critic,David Lynch,Mulholland Drive,2,2001,drama mystery and thriller,USA
Brazil,Ana Maria Bahiana,Freelance film critic,Alfonso Cuarón,Children of Men,3,2006,drama sci-fi and thriller,Mexico
Brazil,Ana Maria Bahiana,Freelance film critic,Fernando Meirelles and Kátia Lund,City of God,4,2002,crime and drama,Brazil
Brazil,Ana Maria Bahiana,Freelance film critic,Guillermo Del Toro,Pan's Labyrinth,5,2006,drama fantasy and war,Mexico
Brazil,Ana Maria Bahiana,Freelance film critic,Christopher Nolan,Inception,6,2010,action adventure sci-Fi and thriller,UK
Brazil,Ana Maria Bahiana,Freelance film critic,Brad Bird,The Incredibles,7,2004, animation action adventure and family,USA
Brazil,Ana Maria Bahiana,Freelance film critic,Alejandro González Iñárritu,Birdman,8,2014,comedy and drama,Mexico
Brazil,Ana Maria Bahiana,Freelance film critic,Joel and Ethan Coen,No Country For Old Men,9,2007,crime drama and thriller,USA
Brazil,Ana Maria Bahiana,Freelance film critic,Ang Lee,Brokeback Mountain,10,2005,drama and romance,Taiwan
Argentina,Diego Batlle,La Nacion,Andrew Stanton,WALL-E,1,2008,animation adventure family and sci-fi,USA
Argentina,Diego Batlle,La Nacion,Wong Kar-wai,In the Mood for Love,2,2000,drama and romance,China
Argentina,Diego Batlle,La Nacion,Hayao Miyazaki,Spirited Away,3,2001,animation adventure family fantasy and mystery,Japan
Argentina,Diego Batlle,La Nacion,Richard Linklater,Boyhood,4,2014,drama,USA
Argentina,Diego Batlle,La Nacion,Nanni Moretti,The Son's Room,5,2001,drama,Italy
Argentina,Diego Batlle,La Nacion,Mariano Llinás,Extraordinary Stories,6,2008,drama and mystery,Argentina
Argentina,Diego Batlle,La Nacion,David Lynch,Mulholland Drive,7,2001,drama mystery and thriller,USA
Argentina,Diego Batlle,La Nacion,David Fincher,The Social Network,8,2010,biography and drama,USA
Argentina,Diego Batlle,La Nacion,Gus Van Sant,Elephant,9,2003,crime drama and thriller,USA
Argentina,Diego Batlle,La Nacion,Apichatpong Weerasethakul,Uncle Boonmee Who Can Recall His Past Lives,10,2010,drama and fantasy,Thailand
Cuba,Luciano Castillo,Cinemateca de Cuba,Michael Haneke,The White Ribbon,1,2009,drama history mystery and thriller,Germany
Cuba,Luciano Castillo,Cinemateca de Cuba,Wong Kar-wai,In the Mood for Love,2,2000,drama and romance,China
Cuba,Luciano Castillo,Cinemateca de Cuba,Kim Ki-duk,"Spring, Summer, Fall, Winter…and Spring",3,2003,drama and romance,Korea
Cuba,Luciano Castillo,Cinemateca de Cuba,Lars von Trier,Melancholia,4,2011,drama and sci-fi,Denmark
Cuba,Luciano Castillo,Cinemateca de Cuba,Gus Van Sant,Elephant,5,2003,crime drama and thriller,USA
Cuba,Luciano Castillo,Cinemateca de Cuba,Aleksandr Sokurov,Russian Ark,6,2002,drama fantasy history mystery,Rusia
Cuba,Luciano Castillo,Cinemateca de Cuba,Fernando Meirelles and Kátia Lund,City of God,7,2002,crime and drama,Brazil
Cuba,Luciano Castillo,Cinemateca de Cuba,Jacques Audiard,A Prophet,8,2009,crime and drama,France
Cuba,Luciano Castillo,Cinemateca de Cuba,Cristian Mungiu,"4 Months, 3 Weeks & 2 Days",9,2007,drama,Romania
Cuba,Luciano Castillo,Cinemateca de Cuba,Pete Docter,Inside Out,10,2015,animation adventure comedy drama family and fantasy,USA
Colombia,Samuel Castro,El Colombiano,Juan José Campanella,The Secret in Their Eyes,1,2009,crime drama mystery and thriller,Argentina
Colombia,Samuel Castro,El Colombiano,Richard Linklater,Before Sunset,2,2004,drama and romance,USA
Colombia,Samuel Castro,El Colombiano,Michel Gondry,Eternal Sunshine of the Spotless Mind,3,2004,drama romance and sci-fi,France
Colombia,Samuel Castro,El Colombiano,Brad Bird and Jan Pinkava,Ratatouille,4,2007,animation adventure and comedy,USA 
Colombia,Samuel Castro,El Colombiano,Sarah Polley,Stories We Tell,5,2012,documentary,Canada
Colombia,Samuel Castro,El Colombiano,Guillermo Del Toro,Pan's Labyrinth,6,2006,drama fantasy and war,Mexico
Colombia,Samuel Castro,El Colombiano,Alejandro González Iñárritu,Amores Perros,7,2000,drama and thriller,Mexico
Colombia,Samuel Castro,El Colombiano,Asghar Farhadi,A Separation,8,2011,drama and mystery,Iran
Colombia,Samuel Castro,El Colombiano,Steven Spielberg,Minority Report,9,2002,action adventure and crime,USA
Colombia,Samuel Castro,El Colombiano,Baz Luhrmann,Moulin Rouge!,10,2001,drama musical and romance,Australia
Cuba,Mario Espinosa,Cinemateca de Cuba,Roy Andersson,A Pigeon Sat on a Branch Reflecting on Existence,1,2014,comedy,Sweden
Cuba,Mario Espinosa,Cinemateca de Cuba,Joshua Oppenheimer,The Act of Killing,2,2012,documentary and crime,USA
Cuba,Mario Espinosa,Cinemateca de Cuba,Yorgos Lanthimos,Dogtooth,3,2009,drama,Greece
Cuba,Mario Espinosa,Cinemateca de Cuba,Andrzej Wajda,Katyn,4,2007,drama history and war,Poland
Cuba,Mario Espinosa,Cinemateca de Cuba,Kim Ki-duk,3-Iron,5,2004,drama and romance,South Korea
Cuba,Mario Espinosa,Cinemateca de Cuba,Michael Haneke,Caché,6,2005,drama mystery and thriller,Germany
Cuba,Mario Espinosa,Cinemateca de Cuba,David Lynch,Mulholland Drive,7,2001,drama mystery and thriller,USA
Cuba,Mario Espinosa,Cinemateca de Cuba,Ari Folman,The Congress,8,2013,animation drama and sci-fi,Israel 
Cuba,Mario Espinosa,Cinemateca de Cuba,Park Chan-wook,Sympathy for Mr Vengeance,9,2002,action and drama,South Korea
Cuba,Mario Espinosa,Cinemateca de Cuba,Charlie Kaufman,"Synecdoche, New York",10,2008,comedy and drama,USA
Argentina,Javier Porta Fouz,La Nacion,Clint Eastwood,Jersey Boys,1,2014, biography drama and music,USA
Argentina,Javier Porta Fouz,La Nacion,Baz Luhrmann,Moulin Rouge!,2,2001,drama musical and romance,Australia
Argentina,Javier Porta Fouz,La Nacion,Fabián Bielinsky,Nine Queens,3,2000, crime drama and thriller,Argentina
Argentina,Javier Porta Fouz,La Nacion,Nanni Moretti,Mia Madre,4,2015,drama,Italy
