critic_cn,dir_country,count
Argentina,USA,8
Argentina,Argentina,2
Argentina,Australia,2
Argentina,Italy,2
Argentina,Japan,2
Argentina,China,1
Argentina,Korea,1
Argentina,Thailand,1
Argentina,USA ,1
Brazil,USA,4
Brazil,Mexico,3
Brazil,Brazil,1
Brazil,Taiwan,1
Brazil,UK,1
Chile,USA,8
Chile,Canada,2
Chile,France,2
Chile,Argentina,1
Chile,Chile,1
Chile,Italy,1
Chile,Japan,1
Chile,Mexico,1
Chile,South Korea,1
Chile,Spain,1
Colombia,USA,11
Colombia,France,6
Colombia,Iran,3
Colombia,Mexico,3
Colombia,Argentina,2
Colombia,Australia,1
Colombia,Belgium,1
Colombia,Canada,1
Colombia,China,1
Colombia,Colombia,1
Colombia,Germany,1
Colombia,Hungary,1
Colombia,Japan,1
Colombia,Romania,1
Colombia,Russia,1
Colombia,South Africa,1
Colombia,Sweden,1
Colombia,Tunisia,1
Colombia,UK,1
Colombia,USA ,1
Cuba,USA,7
Cuba,Germany,5
Cuba,France,4
Cuba,China,3
Cuba,South Korea,3
Cuba,Canada,2
Cuba,Denmark,2
Cuba,Hungary,2
Cuba,Korea,2
Cuba,Poland,2
Cuba,Portugal,2
Cuba,Russia,2
Cuba,Belgium,1
Cuba,Brazil,1
Cuba,Greece,1
Cuba,Israel,1
Cuba,Israel ,1
Cuba,Italy,1
Cuba,Philippines,1
Cuba,Romania,1
Cuba,Rusia,1
Cuba,Spain,1
Cuba,Sweden,1
Cuba,Thailand,1
Cuba,UK,1
Mexico,Germany,4
Mexico,USA,4
Mexico,France,3
Mexico,Mexico,2
Mexico,China,1
Mexico,Denmark,1
Mexico,Hungary,1
Mexico,Japan,1
Mexico,Poland,1
Mexico,Romania,1
Mexico,UK,1
